한달내의 시기,계절,주말여부,화재발생시간대,시군구명,발화지점,날씨,온도,습도,시간단위풍속,특보내용,발화원인종합,출동소요시간,현장소방서거리,현장안전센터거리,전체인력수합계,화재진압시간,동원장비수,피해면적
월중순,겨울,0,12~15,양구군,평지,맑음,0,26,180,,인간의 부주의,446,43,10,84,3824,3,0.05
월중순,겨울,0,9~12,원주시,산아래,맑음,-3,0,180,,인간의 부주의,1749,17,11,46,2151,9,0.03
월중순,겨울,0,18~21,강릉시,산아래,맑음,-7,25,315,특보_건조,인간의 부주의,1123,9,9,490,31900,52,3.0
월말,겨울,0,15~18,춘천시,산아래,맑음,-3,29,135,특보_한파,인간의 부주의,911,11,7,37,1511,12,0.01
월말,겨울,0,15~18,춘천시,산아래,맑음,-5,25,225,,인간의 부주의,1012,30,7,182,10931,17,0.3
월말,겨울,0,0~3,홍천군,산중턱,맑음,0,0,45,,인간의 부주의,1456,30,19,49,14544,4,0.05
월말,겨울,0,9~12,홍천군,산중턱,맑음,3,38,225,특보_풍랑,인간의 부주의,2359,9,9,59,1834,8,0.03
월초,겨울,0,9~12,원주시,산아래,맑음,2,30,225,,인간의 부주의,1519,26,8,75,4702,10,0.05
월초,겨울,0,12~15,춘천시,산아래,구름조금,5,29,225,,인간의 부주의,507,3,7,103,10411,9,1.0
월초,겨울,0,15~18,횡성군,산아래,구름조금,3,26,180,,인간의 부주의,1652,31,11,185,13907,13,0.8
월초,겨울,0,12~15,횡성군,평지,맑음,0,60,225,특보_대설,인간의 부주의,1409,14,14,222,21135,10,3.0
월초,겨울,0,12~15,춘천시,산중턱,맑음,6,28,135,,인간의 부주의,2958,30,25,110,2216,15,0.02
월중순,겨울,0,21~24,동해시,산중턱,맑음,8,41,225,,인간의 부주의,1150,7,3,504,25100,21,0.26
월말,겨울,1,6~9,정선군,산아래,맑음,-1,30,180,,기계/전기/화학 요인,639,39,6,155,21100,16,0.3
월말,겨울,1,15~18,정선군,산아래,맑음,-4,63,135,,인간의 부주의,1540,27,10,112,14800,12,0.3
월말,겨울,0,12~15,인제군,산중턱,구름조금,3,27,315,,미상,2834,29,20,103,10906,10,1.0
월말,겨울,0,12~15,양구군,산아래,흐림,5,28,270,특보_건조,인간의 부주의,937,57,7,122,10201,6,0.5
월말,겨울,0,15~18,화천군,산중턱,흐림,-4,65,315,,인간의 부주의,4513,49,9,35,4800,7,0.03
월말,겨울,0,12~15,춘천시,평지,맑음,7,22,225,,인간의 부주의,705,10,4,60,2105,8,0.01
월말,겨울,0,15~18,영월군,산아래,구름조금,6,0,270,,인간의 부주의,1618,32,10,90,5518,8,0.05
월초,봄,0,15~18,강릉시,산아래,맑음,6,49,225,,인간의 부주의,848,11,9,158,3740,21,0.1
월초,봄,0,15~18,철원군,산중턱,맑음,18,26,270,,자연적 요인,5840,22,18,53,10106,6,0.1
월초,봄,1,15~18,정선군,산아래,구름조금,13,24,225,,인간의 부주의,1011,15,15,113,5737,13,0.1
월중순,봄,0,9~12,영월군,산중턱,맑음,10,26,270,,인간의 부주의,1243,4,4,92,5623,12,0.02
월중순,봄,0,9~12,강릉시,산아래,맑음,18,21,90,특보_건조,인간의 부주의,845,8,6,260,3010,37,0.6
월말,봄,1,9~12,화천군,산아래,맑음,12,16,315,,인간의 부주의,1955,56,11,55,2912,6,0.3
월말,봄,0,9~12,철원군,산중턱,맑음,16,23,45,,인간의 부주의,905,8,8,299,53200,15,2.0
월말,봄,0,18~21,원주시,평지,맑음,13,0,315,,인간의 부주의,751,22,4,68,2123,8,0.03
월말,봄,0,9~12,화천군,산아래,구름조금,17,12,270,,인간의 부주의,1300,46,6,442,21500,7,1.5
월초,봄,0,9~12,평창군,산아래,맑음,18,23,90,,인간의 부주의,920,30,2,72,13125,6,0.2
월초,봄,0,9~12,양구군,산정상,맑음,24,18,135,,미상,832,50,6,953,81923,18,6.0
월초,봄,0,15~18,횡성군,산아래,맑음,18,45,180,,인간의 부주의,952,5,5,93,4218,7,0.5
월초,봄,1,12~15,홍천군,평지,맑음,23,20,225,,인간의 부주의,847,33,39,148,13549,17,1.0
월초,봄,1,15~18,영월군,산아래,맑음,24,15,225,,기계/전기/화학 요인,1025,12,12,193,12400,17,0.5
월초,봄,1,18~21,평창군,산아래,구름조금,19,21,225,,인간의 부주의,951,21,21,335,40324,14,2.0
월초,봄,0,15~18,화천군,산중턱,맑음,16,50,135,,인간의 부주의,1850,33,8,46,5100,9,0.01
월초,봄,0,15~18,원주시,산아래,맑음,18,20,225,,인간의 부주의,1541,38,21,95,5706,6,0.05
월초,봄,1,15~18,고성군,산중턱,맑음,24,30,315,,인간의 부주의,835,8,9,117,4337,22,0.08
월중순,봄,1,15~18,삼척시,산중턱,구름조금,15,35,225,,인간의 부주의,1345,15,15,248,11010,17,0.04
월말,봄,1,6~9,삼척시,산중턱,구름조금,15,40,180,,인간의 부주의,1436,45,15,193,15500,15,0.05
월말,봄,1,18~21,강릉시,산아래,맑음,22,39,270,특보_강풍,인간의 부주의,1609,27,15,298,5523,20,0.03
월초,봄,1,15~18,삼척시,산중턱,맑음,20,30,225,,인간의 부주의,338,37,20,175,15201,4,0.03
월중순,봄,0,15~18,삼척시,산정상,맑음,19,40,90,,인간의 부주의,1952,25,15,207,4200,9,0.1
월중순,봄,1,9~12,정선군,평지,맑음,26,9,135,,인간의 부주의,2945,29,11,71,10944,102,0.3
월중순,봄,1,15~18,정선군,산정상,맑음,27,14,225,,미상,1946,34,14,107,14111,106,2.0
월중순,봄,1,12~15,정선군,산중턱,맑음,23,50,45,,인간의 부주의,2729,33,9,109,21044,16,0.1
월중순,봄,0,12~15,양양군,산아래,맑음,27,28,135,,인간의 부주의,2614,8,8,132,20800,19,0.05
월중순,봄,0,15~18,원주시,산아래,맑음,29,20,315,,인간의 부주의,2353,12,9,32,2058,9,0.08
월말,봄,0,12~15,평창군,산중턱,맑음,27,33,270,,인간의 부주의,1350,48,5,80,11403,12,1.0
월초,여름,0,9~12,인제군,산중턱,맑음,26,27,180,,인간의 부주의,906,19,19,138,10624,11,0.1
월초,여름,0,9~12,강릉시,산아래,맑음,21,67,45,,인간의 부주의,3402,25,10,89,5642,15,0.1
월초,여름,0,12~15,인제군,산중턱,구름많음,27,32,225,,인간의 부주의,2655,10,10,51,22734,7,0.01
월초,여름,0,9~12,홍천군,산아래,맑음,32,12,270,,인간의 부주의,619,30,24,72,10509,9,0.1
월초,여름,0,12~15,정선군,평지,맑음,30,29,315,,인간의 부주의,2853,32,14,38,4327,6,0.2
월중순,여름,0,12~15,춘천시,산중턱,맑음,28,49,180,,인간의 부주의,1059,16,10,59,4336,15,0.01
월중순,여름,0,15~18,원주시,산정상,맑음,29,36,270,,인간의 부주의,712,10,10,58,12213,4,0.05
월말,여름,0,15~18,횡성군,산중턱,맑음,30,52,225,,인간의 부주의,932,36,9,55,3357,7,0.3
월중순,여름,0,15~18,횡성군,산중턱,맑음,24,25,180,,인간의 부주의,5003,24,24,76,20428,14,0.04
월중순,가을,0,12~15,춘천시,산중턱,구름조금,23,35,45,,인간의 부주의,2400,25,18,52,20143,4,0.01
월중순,가을,0,9~12,삼척시,평지,맑음,18,10,135,,인간의 부주의,114,34,25,110,1400,14,0.01
월말,가을,0,3~6,강릉시,산아래,맑음,7,60,315,,방화 및 방화의심,1225,10,7,46,2214,13,0.01
월말,가을,0,15~18,횡성군,산중턱,맑음,4,25,180,,인간의 부주의,1159,4,4,97,14144,8,0.03
월중순,겨울,0,12~15,춘천시,평지,맑음,1,23,135,,인간의 부주의,1015,11,9,64,3101,9,0.05
월중순,겨울,0,15~18,강릉시,산아래,맑음,4,19,315,특보_건조,인간의 부주의,513,12,10,129,1911,13,0.03
월중순,겨울,1,21~24,양양군,산정상,구름조금,-4,37,270,특보_건조,인간의 부주의,741,14,5,133,80217,6,0.04
월중순,겨울,0,12~15,양양군,산아래,맑음,5,37,45,특보_건조,인간의 부주의,1502,19,34,121,703,5,0.02
월말,겨울,0,9~12,강릉시,산중턱,맑음,5,35,135,,인간의 부주의,1046,12,12,115,4823,17,0.03
월말,겨울,0,6~9,강릉시,산중턱,흐림,4,42,315,,인간의 부주의,1329,11,19,105,3332,13,0.01
월초,봄,0,18~21,홍천군,산중턱,맑음,1,84,225,,인간의 부주의,2124,34,40,117,30119,12,0.01
월초,봄,0,9~12,강릉시,산정상,맑음,7,24,225,특보_건조,인간의 부주의,642,30,4,2456,235419,73,75.0
월초,봄,0,9~12,춘천시,산중턱,맑음,8,28,225,,인간의 부주의,837,5,5,73,2607,13,0.01
월중순,봄,1,12~15,양구군,산중턱,구름조금,13,17,135,,기계/전기/화학 요인,1326,50,14,171,33602,7,0.3
월중순,봄,1,15~18,홍천군,산중턱,구름조금,16,19,270,,인간의 부주의,701,33,39,70,13927,12,0.05
월중순,봄,1,15~18,춘천시,산아래,비,13,35,225,,인간의 부주의,1412,26,13,236,5509,18,0.3
월중순,봄,0,15~18,영월군,산아래,구름조금,13,0,270,,인간의 부주의,951,23,12,65,10948,5,0.3
월중순,봄,0,9~12,춘천시,평지,구름조금,1,75,135,특보_건조,인간의 부주의,1031,23,10,154,5234,14,0.3
월중순,봄,0,15~18,홍천군,산아래,구름조금,11,36,135,,인간의 부주의,1108,43,29,157,12828,19,0.5
월중순,봄,0,9~12,춘천시,산중턱,흐림,8,30,225,특보_건조,인간의 부주의,1231,17,11,82,3007,9,0.05
월중순,봄,0,12~15,철원군,산중턱,맑음,13,35,270,,인간의 부주의,1354,13,15,34,1641,7,0.1
월중순,봄,1,9~12,평창군,산아래,맑음,13,30,45,,미상,619,38,17,202,15538,12,0.3
월중순,봄,1,9~12,화천군,산아래,맑음,13,34,135,특보_건조,인간의 부주의,1418,50,10,278,40000,16,1.5
월중순,봄,1,12~15,영월군,산중턱,맑음,18,10,45,,인간의 부주의,1242,6,6,132,13733,13,0.2
월중순,봄,1,18~21,춘천시,산아래,맑음,8,44,315,,인간의 부주의,1146,7,6,114,2549,6,0.05
월말,봄,0,15~18,인제군,산아래,맑음,13,17,180,,인간의 부주의,411,3,3,94,2637,21,0.01
월말,봄,0,15~18,화천군,산정상,맑음,11,30,270,,인간의 부주의,1402,43,9,136,13828,4,0.15
월말,봄,0,12~15,횡성군,산아래,맑음,14,30,135,,인간의 부주의,451,20,20,158,10620,13,0.5
월말,봄,0,15~18,홍천군,평지,구름조금,18,20,225,,인간의 부주의,721,11,11,99,10158,13,0.4
월말,봄,0,15~18,춘천시,산아래,구름조금,18,23,225,,인간의 부주의,1608,20,8,172,2023,6,0.01
월초,봄,0,18~21,철원군,산정상,맑음,12,18,180,,인간의 부주의,631,4,4,74,11437,6,0.1
월초,봄,1,12~15,영월군,산아래,맑음,24,33,315,,인간의 부주의,2911,48,23,176,5516,17,0.3
월초,봄,0,9~12,원주시,산아래,맑음,21,15,225,,인간의 부주의,530,13,12,111,11024,26,0.2
월초,봄,0,15~18,철원군,산중턱,맑음,20,11,315,,인간의 부주의,1622,40,30,41,3101,10,0.01
월중순,봄,0,6~9,철원군,산아래,맑음,12,12,315,,인간의 부주의,2009,18,9,56,11112,12,0.01
월중순,봄,0,9~12,춘천시,평지,맑음,14,23,180,특보_건조,인간의 부주의,1523,17,12,101,11900,13,0.35
월중순,봄,0,15~18,고성군,산아래,맑음,15,42,135,,기계/전기/화학 요인,656,11,4,62,1801,5,0.02
월중순,봄,0,9~12,고성군,산중턱,맑음,15,51,270,,인간의 부주의,1158,10,6,62,2430,5,0.01
월말,봄,1,0~3,횡성군,산아래,맑음,5,45,225,,인간의 부주의,755,6,6,28,3256,10,0.06
월말,봄,1,12~15,영월군,산아래,맑음,21,22,270,,인간의 부주의,2506,22,22,81,10114,4,0.2
월말,봄,1,12~15,양구군,산아래,맑음,19,20,225,,미상,1043,51,9,89,11239,6,0.12
월말,봄,0,12~15,강릉시,산아래,구름조금,21,37,90,특보_건조,인간의 부주의,836,13,5,239,4441,20,0.3
월말,봄,0,12~15,홍천군,산정상,구름조금,17,32,225,,인간의 부주의,1353,77,43,103,13548,12,0.1
월말,봄,1,3~6,고성군,산중턱,맑음,11,63,315,,인간의 부주의,557,14,6,51,10808,4,0.1
월말,봄,1,9~12,춘천시,산정상,맑음,24,25,135,,인간의 부주의,1811,13,12,42,4443,9,0.02
월말,봄,1,15~18,춘천시,산정상,맑음,23,12,90,,인간의 부주의,1922,16,10,42,2200,9,0.01
월초,봄,0,9~12,인제군,산중턱,맑음,24,14,90,,인간의 부주의,1051,8,8,98,22316,20,0.5
월초,봄,0,12~15,고성군,산중턱,맑음,19,65,135,,인간의 부주의,558,10,4,89,5137,7,0.05
월초,봄,0,9~12,원주시,평지,맑음,26,36,270,,인간의 부주의,1256,33,28,100,3804,9,0.1
월초,봄,0,12~15,원주시,평지,맑음,26,29,315,,인간의 부주의,2003,31,10,89,4806,10,0.05
월초,봄,0,15~18,고성군,산아래,맑음,17,70,135,,자연적 요인,909,13,5,164,1919,6,0.05
월초,봄,0,9~12,홍천군,산정상,맑음,26,24,45,,인간의 부주의,1439,8,8,101,5721,14,0.3
월초,봄,0,12~15,영월군,산중턱,맑음,26,29,225,,인간의 부주의,1131,40,16,150,34858,18,0.5
월초,봄,0,15~18,영월군,산중턱,맑음,28,17,270,,인간의 부주의,1312,8,8,42,10453,8,0.01
월초,봄,0,18~21,영월군,산중턱,맑음,17,37,90,,인간의 부주의,1149,52,24,234,20300,16,0.1
월초,봄,0,12~15,정선군,산중턱,맑음,20,55,135,특보_건조,인간의 부주의,1651,13,13,125,13249,16,0.1
월초,봄,0,15~18,강릉시,산중턱,맑음,26,31,180,,인간의 부주의,3029,28,26,138,1554,13,0.05
월초,봄,1,9~12,삼척시,산중턱,맑음,21,24,225,특보_건조,인간의 부주의,1200,38,11,1140,232500,43,270.0
월초,봄,1,12~15,고성군,산정상,맑음,23,14,270,,인간의 부주의,700,1,8,40,3043,5,0.02
월초,봄,1,12~15,홍천군,산중턱,구름많음,21,16,225,,미상,206,29,21,78,10337,11,0.01
월초,봄,1,15~18,강릉시,산정상,맑음,22,12,225,,인간의 부주의,2718,14,12,2840,133403,118,57.0
월초,봄,1,18~21,춘천시,산아래,맑음,21,22,225,,인간의 부주의,2622,30,26,178,13452,9,0.1
월초,봄,1,18~21,춘천시,산아래,맑음,20,23,225,,인간의 부주의,2245,63,68,93,12346,13,0.01
월초,봄,0,15~18,홍천군,산중턱,맑음,24,32,225,,인간의 부주의,903,11,11,94,11342,14,0.05
월중순,봄,0,12~15,강릉시,산아래,맑음,25,35,225,특보_건조,인간의 부주의,3229,31,29,123,316,17,0.06
월중순,봄,1,9~12,양구군,산중턱,맑음,28,33,225,,인간의 부주의,302,57,16,78,12945,7,0.1
월중순,봄,1,9~12,정선군,산정상,맑음,28,30,225,,인간의 부주의,2544,29,22,123,5511,19,0.04
월중순,봄,1,15~18,화천군,산중턱,맑음,29,28,225,,인간의 부주의,1822,45,9,17,4945,1,0.06
월말,봄,1,9~12,인제군,산정상,맑음,25,30,135,,인간의 부주의,3005,37,20,95,10522,10,0.1
월말,봄,0,9~12,춘천시,산정상,맑음,29,38,225,,인간의 부주의,4212,22,21,73,15728,8,0.05
월말,봄,0,9~12,춘천시,산아래,구름조금,20,32,225,,인간의 부주의,1701,17,9,89,3827,10,0.01
월말,봄,1,9~12,평창군,산아래,맑음,18,50,45,,인간의 부주의,1853,50,28,61,10057,8,0.01
월초,여름,0,0~3,원주시,산아래,구름조금,20,20,315,,인간의 부주의,859,24,3,66,22852,8,0.3
월초,여름,0,12~15,강릉시,산중턱,구름조금,19,57,90,,인간의 부주의,2717,30,9,146,4306,17,0.06
월초,여름,1,9~12,인제군,산아래,맑음,22,27,180,,인간의 부주의,2220,10,10,88,25310,10,0.3
월초,여름,1,9~12,철원군,산아래,맑음,24,19,315,,인간의 부주의,1222,17,17,70,14326,11,0.01
월중순,여름,0,9~12,강릉시,산아래,구름조금,29,35,225,,인간의 부주의,3005,46,44,73,1020,15,0.01
월중순,여름,0,21~24,홍천군,산아래,구름조금,20,72,45,,인간의 부주의,741,36,7,108,15802,11,0.05
월말,여름,0,12~15,철원군,산정상,맑음,29,33,225,,인간의 부주의,654,3,3,68,13658,7,0.01
월말,여름,0,12~15,횡성군,산정상,구름조금,32,34,270,,인간의 부주의,2635,25,25,57,11917,7,0.01
월중순,가을,0,12~15,평창군,산정상,맑음,5,18,90,,미상,4908,17,17,91,3727,11,0.09
월중순,가을,0,15~18,홍천군,산중턱,맑음,6,32,225,,인간의 부주의,1937,35,11,113,10533,16,0.5
월중순,가을,1,12~15,정선군,산아래,맑음,1,15,225,특보_풍랑,인간의 부주의,947,25,24,63,3814,15,0.05
월중순,가을,0,9~12,영월군,산아래,맑음,4,26,315,특보_풍랑,인간의 부주의,1154,19,19,130,3507,12,0.3
월말,가을,0,9~12,홍천군,산아래,구름조금,1,26,315,,인간의 부주의,1102,8,8,85,4722,13,0.05
월초,겨울,1,21~24,원주시,산아래,맑음,2,56,315,,기계/전기/화학 요인,1351,25,8,95,10539,11,0.2
월말,겨울,0,15~18,양양군,산아래,맑음,7,54,315,,미상,1149,7,7,315,11648,16,0.3
월초,겨울,0,18~21,원주시,산정상,구름많음,-5,43,225,,인간의 부주의,356,15,12,74,11423,6,0.01
월중순,겨울,1,18~21,양양군,미상,구름조금,6,53,225,,미상,3806,10,10,1229,145435,17,1.2
월초,겨울,0,12~15,홍천군,산중턱,맑음,-1,40,315,,인간의 부주의,3855,39,5,100,5327,11,0.02
월초,겨울,0,3~6,춘천시,산아래,맑음,-10,72,45,,인간의 부주의,1936,26,21,69,5834,10,0.01
월중순,겨울,1,21~24,삼척시,산아래,구름조금,-11,57,225,특보_풍랑,미상,1239,38,6,0,152243,0,50.0
월중순,겨울,0,9~12,횡성군,산아래,맑음,-3,37,270,특보_풍랑,인간의 부주의,855,15,0,103,12904,10,0.1
월중순,겨울,0,12~15,평창군,산정상,맑음,5,20,315,,인간의 부주의,843,5,5,168,11443,15,0.5
월중순,겨울,0,12~15,원주시,산아래,맑음,6,28,225,특보_건조,기계/전기/화학 요인,1147,28,7,133,3606,15,0.5
월중순,겨울,0,15~18,정선군,산아래,맑음,6,24,225,,인간의 부주의,2546,47,17,159,5216,17,0.1
월중순,봄,0,12~15,춘천시,산아래,맑음,20,42,225,,인간의 부주의,634,6,2,89,932,10,0.2
월말,봄,1,18~21,원주시,산아래,구름조금,8,62,180,,인간의 부주의,524,7,2,147,12052,7,0.3
월말,봄,0,3~6,고성군,평지,구름조금,18,35,225,,기계/전기/화학 요인,1308,3,8,7174,103156,281,40.0
월초,봄,1,12~15,철원군,산중턱,맑음,20,57,225,,인간의 부주의,2610,18,13,57,10952,6,0.1
월초,봄,0,12~15,삼척시,산중턱,구름조금,13,45,90,,기계/전기/화학 요인,3138,40,6,198,20453,30,0.3
월중순,봄,0,9~12,춘천시,산아래,구름조금,18,17,45,,인간의 부주의,3402,37,15,104,13845,11,0.02
월중순,봄,0,12~15,평창군,산중턱,맑음,26,16,315,,인간의 부주의,2804,75,20,100,3411,25,0.08
월말,봄,1,9~12,화천군,산아래,맑음,22,28,45,,인간의 부주의,1324,30,10,55,3210,13,0.15
월말,봄,1,9~12,인제군,산중턱,맑음,25,15,225,,인간의 부주의,1456,9,9,471,223130,81,3.0
월말,봄,1,15~18,춘천시,산정상,구름조금,27,12,225,,인간의 부주의,1306,13,11,163,201530,28,0.5
월초,여름,0,12~15,춘천시,산정상,맑음,29,24,225,,인간의 부주의,2503,10,5,60,14504,8,0.01
월말,여름,0,12~15,양구군,산정상,맑음,32,10,180,,인간의 부주의,2856,60,20,109,14306,12,0.05
월말,여름,0,21~24,인제군,산정상,구름조금,21,61,225,,인간의 부주의,4328,23,0,42,254,12,0.01
월말,여름,1,12~15,춘천시,산중턱,맑음,29,41,225,,인간의 부주의,3005,27,23,61,24112,11,0.01
월말,여름,1,15~18,홍천군,산정상,맑음,33,30,225,,인간의 부주의,118,8,8,138,33029,17,1.0
월말,여름,1,18~21,홍천군,산정상,맑음,31,35,225,,미상,2316,26,29,79,10102,12,0.25
월말,여름,1,12~15,춘천시,산중턱,맑음,34,45,45,,인간의 부주의,3031,34,14,65,51925,13,0.01
월초,여름,0,6~9,춘천시,산정상,맑음,35,66,45,,인간의 부주의,4342,36,15,94,61457,7,0.1
월초,여름,0,9~12,횡성군,산중턱,맑음,37,59,270,,인간의 부주의,2801,18,12,107,42355,20,0.3
월초,여름,1,15~18,홍천군,산아래,맑음,35,48,270,,인간의 부주의,1317,10,10,59,3708,10,0.03
월중순,여름,0,9~12,횡성군,산정상,맑음,32,79,90,,인간의 부주의,432,26,13,106,40729,14,0.25
월중순,여름,0,12~15,춘천시,산중턱,맑음,29,34,135,,인간의 부주의,1230,10,6,232,63115,22,0.5
월초,가을,0,12~15,인제군,산정상,구름조금,22,51,315,,인간의 부주의,2409,15,15,115,21058,12,0.01
월말,가을,0,12~15,철원군,산중턱,맑음,4,0,135,특보_풍랑,인간의 부주의,712,17,6,91,4412,9,0.1
월말,가을,0,6~9,삼척시,평지,맑음,5,19,315,특보_건조,인간의 부주의,1416,23,16,152,4354,15,0.1
월말,가을,0,3~6,삼척시,산정상,맑음,3,70,315,,미상,1836,22,12,70,2859,15,0.03
월말,겨울,0,9~12,태백시,산중턱,구름조금,3,31,135,,인간의 부주의,1344,13,9,146,51107,24,0.1
월말,겨울,0,0~3,인제군,산중턱,맑음,3,20,270,,미상,2748,24,16,221,204205,23,1.0
월말,겨울,1,0~3,평창군,산아래,맑음,1,16,315,특보_풍랑,인간의 부주의,1146,21,21,90,11139,10,0.05
월말,겨울,1,0~3,원주시,산아래,맑음,-13,20,315,특보_풍랑,미상,601,22,5,79,3707,14,0.1
월말,겨울,1,3~6,원주시,산아래,맑음,-2,65,315,,미상,637,21,3,155,11728,15,0.2
월말,겨울,0,9~12,횡성군,평지,구름조금,4,23,225,,인간의 부주의,657,26,16,101,3919,11,0.4
월말,겨울,0,3~6,홍천군,산아래,맑음,6,38,270,,인간의 부주의,738,7,7,100,2610,16,0.05
월말,겨울,0,9~12,평창군,산아래,맑음,8,50,180,,인간의 부주의,1832,30,9,86,4323,11,0.1
월말,겨울,0,0~3,춘천시,산아래,구름조금,13,34,225,,인간의 부주의,1626,15,10,87,12355,14,1.0
월초,봄,0,9~12,홍천군,산아래,맑음,15,24,270,,인간의 부주의,2527,19,19,196,13016,19,0.6
월초,봄,0,0~3,횡성군,산아래,맑음,16,28,180,,인간의 부주의,928,8,7,95,4523,11,0.1
월초,봄,0,3~6,홍천군,산아래,맑음,11,28,270,,인간의 부주의,913,39,6,84,3150,11,0.02
월초,봄,1,6~9,강릉시,산아래,맑음,8,15,135,,인간의 부주의,930,9,10,46,2109,10,0.1
월중순,봄,0,9~12,강릉시,산중턱,구름조금,6,28,270,특보_풍랑,인간의 부주의,2939,30,18,116,2732,23,0.01
월초,봄,0,3~6,홍천군,산아래,맑음,7,36,270,,인간의 부주의,1744,52,36,83,4253,11,0.02
월초,봄,0,0~3,횡성군,평지,맑음,12,24,225,,인간의 부주의,701,17,17,146,13108,16,0.7
월초,봄,0,0~3,횡성군,산아래,맑음,16,29,225,특보_건조,인간의 부주의,1132,6,6,71,3029,11,0.05
월초,봄,0,0~3,인제군,산아래,맑음,15,26,225,특보_강풍,인간의 부주의,728,6,6,3559,210700,4659,345.0
월초,봄,0,9~12,강릉시,산중턱,맑음,15,17,225,특보_강풍,미상,814,32,5,6657,155144,440,1260.0
월초,봄,1,9~12,영월군,산아래,맑음,16,44,135,특보_건조,인간의 부주의,1347,31,31,96,5157,20,0.3
월초,봄,0,0~3,인제군,산정상,맑음,11,11,90,,미상,1647,20,20,157,15000,34,0.5
월중순,봄,0,3~6,홍천군,산아래,구름조금,22,11,180,,인간의 부주의,532,36,23,73,4201,9,0.08
월중순,봄,0,0~3,영월군,산아래,맑음,24,11,225,,인간의 부주의,1723,12,12,128,3228,19,0.2
월중순,봄,1,9~12,춘천시,산중턱,맑음,18,48,270,,인간의 부주의,1846,20,17,68,3756,17,0.03
월초,봄,0,0~3,춘천시,산중턱,맑음,24,20,315,특보_건조,인간의 부주의,1606,19,4,120,5539,15,0.2
월초,봄,0,0~3,춘천시,산아래,맑음,28,18,270,,인간의 부주의,831,4,4,78,2746,16,0.05
월초,봄,1,0~3,춘천시,산정상,구름조금,13,78,315,특보_건조,인간의 부주의,457,7,6,78,11819,17,0.05
월초,봄,0,0~3,홍천군,산정상,맑음,20,10,45,특보_풍랑,인간의 부주의,1829,15,15,70,15936,14,0.02
월초,봄,0,3~6,원주시,산아래,맑음,15,34,315,,인간의 부주의,1151,9,8,56,11450,11,0.1
월초,봄,0,6~9,고성군,미상,맑음,25,29,135,,미상,1709,11,13,329,13107,13,0.54
월중순,봄,1,0~3,정선군,산중턱,맑음,23,21,225,특보_건조,인간의 부주의,2624,36,12,102,11308,68,0.1
월중순,봄,1,9~12,정선군,산정상,맑음,24,28,225,특보_건조,인간의 부주의,3147,34,13,162,5724,139,0.1
월중순,봄,0,0~3,평창군,산중턱,맑음,23,46,90,,인간의 부주의,2420,56,7,56,11329,9,0.02
월중순,봄,1,0~3,강릉시,산아래,맑음,22,63,315,,인간의 부주의,943,13,11,46,2515,12,0.01
월말,봄,0,9~12,정선군,산정상,맑음,26,20,225,,인간의 부주의,2017,34,15,123,5903,138,0.1
월말,봄,0,9~12,영월군,산정상,맑음,31,28,270,,인간의 부주의,758,6,6,50,13411,9,0.1
월초,여름,0,0~3,정선군,산중턱,맑음,29,21,180,,인간의 부주의,414,19,19,171,20224,15,0.2
월초,여름,1,3~6,횡성군,산아래,맑음,27,41,135,,미상,2159,28,15,67,4951,9,0.07
월초,여름,0,0~3,원주시,산중턱,맑음,19,62,135,,인간의 부주의,2052,28,0,38,3957,6,0.01
월초,여름,0,3~6,영월군,산아래,맑음,23,52,90,,인간의 부주의,600,10,10,84,12107,12,0.6
월초,겨울,0,9~12,양구군,산아래,맑음,6,24,315,,인간의 부주의,1230,11,11,73,3451,10,0.1
월중순,겨울,0,3~6,인제군,산중턱,맑음,7,45,225,,인간의 부주의,809,6,6,411,30027,13,0.05
월중순,겨울,0,6~9,정선군,산중턱,맑음,5,45,225,특보_강풍,미상,1650,19,19,214,150305,30,2.0
월말,겨울,0,0~3,강릉시,산아래,맑음,-3,36,225,특보_강풍,인간의 부주의,1049,6,8,128,14803,22,0.1
월초,겨울,0,9~12,강릉시,산아래,맑음,6,34,225,특보_건조,인간의 부주의,658,4,4,67,3001,19,0.02
월초,겨울,0,9~12,춘천시,산아래,맑음,1,51,180,,미상,1441,16,15,77,22712,0,0.7
월초,겨울,1,0~3,정선군,산아래,맑음,5,43,225,특보_풍랑,인간의 부주의,2246,40,14,77,2721,12,0.04
월중순,겨울,0,0~3,양양군,산아래,맑음,5,23,315,,기계/전기/화학 요인,419,2,2,155,1851,25,0.02
월말,겨울,0,9~12,횡성군,산아래,맑음,9,40,180,,인간의 부주의,252,22,7,100,4318,10,0.1
월말,겨울,0,9~12,홍천군,산중턱,맑음,8,41,225,,미상,3419,36,2,79,11237,7,0.01
월초,겨울,1,6~9,춘천시,산아래,맑음,-4,72,315,특보_풍랑,인간의 부주의,2419,33,29,72,3815,8,0.03
월초,겨울,1,3~6,원주시,산중턱,맑음,-1,43,270,,인간의 부주의,1418,30,13,108,32958,12,0.4
월말,겨울,0,9~12,춘천시,평지,맑음,10,45,135,,인간의 부주의,604,28,22,108,41008,10,0.1
월초,봄,1,0~3,홍천군,산정상,맑음,16,21,225,,미상,2924,25,25,113,22242,14,0.05
월중순,봄,0,6~9,원주시,산아래,맑음,14,44,225,특보_강풍,인간의 부주의,1249,18,10,58,11504,17,0.7
